date,EUR,USD,GBP
2017.06,4.183,3.7284963009180854,4.795368565860369
2017.07,4.2259,3.703031896249562,4.805818066027544
2017.08,4.2563,3.6033694547917374,4.758832737030412
2017.09,4.2406,3.5575503355704696,4.605593266358946
2017.10,4.3042,3.645773335592071,4.881262900043095
2017.11,4.2338,3.646055804340337,4.844996280826228
2017.12,4.2129,3.5447202355910816,4.781138285195484
2018.01,4.177,3.482865004586008,4.707911139163463
2018.02,4.1543,3.334376755758889,4.74668647166362
2018.03,4.1853,3.4387478432339162,4.72808404880253
2018.04,4.2106,3.417417417417418,4.812664304491943
2018.05,4.2264,3.4989651461213676,4.804911323328786
2018.06,4.3162,3.6988602279544094,4.922673357664234
2018.07,4.3732,3.7512437810945274,4.935613114384064
2018.08,4.272,3.652530779753762,4.797843665768195
2018.09,4.2913,3.6832031585271645,4.781925562736795
2018.10,4.2796,3.6874030673789417,4.804328790498215
2018.11,4.3269,3.797858334064777,4.907284542887279
2018.12,4.29,3.7767409102913994,4.816544662505052
2019.01,4.3014,3.7566812227074236,4.808558684448816
2019.02,4.2739,3.7258303548077762,4.862893682869107
2019.03,4.3096,3.785996661688482,5.013028103480364
2019.04,4.299,3.8260946956212183,5.018795675827127
2019.05,4.2868,3.8213585309324305,4.970318152304981
2019.06,4.2843,3.842076943771859,4.83048267619767
2019.07,4.2427,3.7383910476693982,4.728928420160949
2019.08,4.2979,3.894083537193078,4.71519473395502
2019.09,4.3812,3.9699166364624867,4.837630431182024
2019.10,4.3774,4.01670031198385,4.920915069417121
2019.11,4.2535,3.818565400843882,4.945470188819645
2019.12,4.3185,3.932343835366964,5.067175124669991
2020.01,4.2568,3.7892113227701625,5.003291020216267
2020.02,4.3009,3.8915128483532397,5.10947430947431
2020.03,4.3259,3.940876377881024,5.0705034284709605
2020.04,4.5815,4.18937454279444,5.179177029165724
2020.05,4.5336,4.168444280985657,5.216730913065992
2020.06,4.4278,3.983267362360562,4.937718153736354
2020.07,4.4583,3.980625,4.930111688598917
2020.08,4.4034,3.7165766374071576,4.88978712535951
2020.09,4.3925,3.664386418620172,4.936779994380444
2020.10,4.4935,3.8236044928522803,4.952988768008113
2020.11,4.6222,3.9512737220037617,5.123935792834339
2020.12,4.4788,3.7423128342245984,4.9876389229158775
